"full_id","comm_fkt","dist_wt","distance_rank","lat","lon","num_buildings"
"w1306302032","AMBODINONOKA_AMBODINONOKA",1083.81687612208,3,-20.9807061805109,47.8833249811796,18
"w758211046","AMBODINONOKA_AMBODINONOKA",1137.58707360862,4,-20.9807028288479,47.8859562490759,26
"w758211035","AMBODINONOKA_AMBODINONOKA",1213.54578096948,5,-20.9825131437653,47.882052730858,101
"w1311178209","AMBODINONOKA_AMBODITAMBITSY",1683.16458852868,1,-21.0027149873334,47.9265444274969,138
"w1321815025","AMBODINONOKA_AMBODITAMBITSY",1760.86533665835,2,-21.00107691761,47.9264183468579,7
"w1331536822","AMBODINONOKA_AMBODITAMBITSY",1941.17206982544,3,-20.9991122815302,47.9173939468338,5
"w758211024","AMBODINONOKA_AMBODITAMBITSY",1945.92269326683,4,-20.9963584298985,47.9078310331292,25
"w758211025","AMBODINONOKA_AMBODITAMBITSY",2042.33167082294,5,-20.9955566109077,47.9065662633479,95
"w1308739087","AMBODINONOKA_AMBODIVANDROZANA",2218.25069637883,1,-21.0116600171467,47.8404279542267,13
"w1308739078","AMBODINONOKA_AMBODIVANDROZANA",2239.99442896936,2,-21.0137878606769,47.8378301631811,15
"w1308739082","AMBODINONOKA_AMBODIVANDROZANA",2248.42757660167,3,-21.0203759113617,47.8349169221283,105
"w1308739090","AMBODINONOKA_AMBODIVANDROZANA",2255.72423398329,4,-21.0065459472156,47.8378148812317,65
"w1310060334","AMBODINONOKA_AMBODIVANDROZANA",2257.20194986072,5,-21.021159233837,47.8342129110662,11
"w1306137800","AMBODINONOKA_AMBOHITSARA",1934.87546468401,1,-20.9392871619892,47.8783305554628,22
"w1307190765","AMBODINONOKA_AMBOHITSARA",1941.23791821561,2,-20.9415845936196,47.8776883560035,5
"w1306291663","AMBODINONOKA_AMBOHITSARA",1941.70260223048,3,-20.9427500076055,47.8805529576106,51
"w1306291661","AMBODINONOKA_AMBOHITSARA",1976.77323420074,4,-20.9452579898886,47.8810254803298,25
"w1306136511","AMBODINONOKA_AMBOHITSARA",2094.45167286245,5,-20.9407117011138,47.8814658798076,9
"w1307723802","AMBODINONOKA_ANALAMARINA",2452.9216944801,1,-20.9400438471758,47.8434054672923,5
"w1307723800","AMBODINONOKA_ANALAMARINA",2455.44544287548,2,-20.9394252024295,47.8427076446629,11
"w1307726892","AMBODINONOKA_ANALAMARINA",2475.85750962773,3,-20.9365139979951,47.8425109878264,9
"w758211012","AMBODINONOKA_ANALAMARINA",2507.81001283697,4,-20.943577324722,47.8442848167003,166
"w1307726889","AMBODINONOKA_ANALAMARINA",2542.43260590501,5,-20.9401174839245,47.8465324458396,8
"w581239975","AMBODINONOKA_FIADANANA",1672.80940594059,1,-20.8591796444694,47.7764326710014,151
"w686892447","AMBODINONOKA_FIADANANA",1760.69059405941,2,-20.8585805748428,47.7728330168307,11
"w1310469130","AMBODINONOKA_FIADANANA",1834.07178217822,3,-20.8607226152367,47.7772039961294,11
"w1310469050","AMBODINONOKA_FIADANANA",2233.49504950495,4,-20.8646269760471,47.7800165664601,9
"w580729643","AMBODINONOKA_FIADANANA",2303.16831683168,5,-20.8586413334348,47.7608068904034,57
