"full_id","comm_fkt","dist_wt","distance_rank","lat","lon","num_buildings"
"w1267062237","AMBAHY_MAROMBY",1883.9203539823,4,-20.762841966823,48.3748498605697,5
"w1298955446","AMBAHY_MAROMBY",2003.53097345133,5,-20.7616687353997,48.3733069766587,5
"w1266757224","AMBAHY_SAHORANA",530.7,1,-20.7641125807025,48.3982032806042,84
"w1266757220","AMBAHY_SAHORANA",551.761904761905,2,-20.7639857937502,48.4005266266521,57
"w1298946053","AMBAHY_SAHORANA",1005.33333333333,3,-20.7610172575637,48.3931444982162,8
"w1298946055","AMBAHY_SAHORANA",1006.68095238095,4,-20.7585377385281,48.398478980488,8
"w1298949401","AMBAHY_SAHORANA",1107.22857142857,5,-20.7690931870349,48.3992612680746,7
"w1247647121","AMBAKOBE_AMBAKOBE",1209.62373737374,1,-20.6869701270984,48.0887661579158,298
"w1247625375","AMBAKOBE_AMBAKOBE",1285.12247474747,2,-20.6905872353529,48.086902873057,84
"w1281358434","AMBAKOBE_AMBAKOBE",1328.98484848485,3,-20.6887050175184,48.0879587603612,5
"w1247625362","AMBAKOBE_AMBAKOBE",1353.14772727273,4,-20.6854053689626,48.0874186724393,5
"w1276056074","AMBAKOBE_AMBAKOBE",1411.20075757576,5,-20.6877835236316,48.0896895807931,12
"w1258617106","AMBAKOBE_AMBODIMANGA",1552.33436853002,1,-20.7222223126601,48.0614305131895,60
"w1246774668","AMBAKOBE_AMBODIMANGA",1605.96583850932,2,-20.7254752459185,48.062934485389,101
"w1258617113","AMBAKOBE_AMBODIMANGA",1686.21428571429,3,-20.7165180504041,48.0634032024775,180
"w1246308459","AMBAKOBE_AMBODIMANGA",1724.9182194617,4,-20.7288170121191,48.0625125971355,55
"w1246295517","AMBAKOBE_AMBODIMANGA",1992.04347826087,5,-20.7252019518872,48.0713698939179,52
"w1249796147","AMBAKOBE_AMPASINAMBO",1494.75869565217,1,-20.6632011835665,48.0978836737786,231
"w1249501948","AMBAKOBE_AMPASINAMBO",2308.09130434783,2,-20.6540234909099,48.0977987094438,6
"w1281400145","AMBAKOBE_AMPASINAMBO",2419.19130434783,3,-20.66821060369,48.0875726983936,5
"w1281400143","AMBAKOBE_AMPASINAMBO",2488.15,4,-20.6604923516475,48.0824974350094,5
"w1281400164","AMBAKOBE_AMPASINAMBO",2541.77173913043,5,-20.6574041505238,48.0786418191634,7
"w1247587500","AMBAKOBE_BEKAZAHA",2278.20821529745,1,-20.7451632087541,48.0643238023187,173
"w1247578573","AMBAKOBE_BEKAZAHA",2329.46033994334,2,-20.7410597928208,48.063370105212,136
"w1247544370","AMBAKOBE_BEKAZAHA",2418.38243626062,3,-20.7463364469976,48.0626228220881,109
